mean_decision_time,points,steps,timestamp
0.0014391342798868816,1.0,30.0,1551364112.930708
0.0014549024177320075,1.0,33.0,1551364112.93503
0.0014989009270301233,1.0,39.0,1551364112.9449558
0.0015010077778886005,2.0,41.0,1551364112.949551
0.0003652444072798187,1.0,204.0,1551364112.9611032
0.00038354476673180976,1.0,209.0,1551364112.966708
0.0003418143157365257,1.0,257.0,1551364112.97442
0.0003554213806038046,1.0,267.0,1551364112.9814599
0.00031115430774110735,1.0,330.0,1551364112.9893
0.0002848679118413852,1.0,389.0,1551364112.9989061
0.00030254033895639275,1.0,390.0,1551364113.004661
0.0002587478988024653,1.0,490.0,1551364113.0136
0.000262516945716472,1.0,514.0,1551364113.021661
0.000251452687760474,1.0,568.0,1551364113.029598
0.00025899410247802733,1.0,580.0,1551364113.037058
0.0002520617585593519,1.0,626.0,1551364113.044606
0.00023051553009623322,1.0,724.0,1551364113.0537632
0.00023464127456215047,1.0,746.0,1551364113.0619268
0.0002452600747346878,2.0,768.0,1551364113.076658
0.00021764539069053665,1.0,922.0,1551364113.0876732
0.00022041978258075136,1.0,924.0,1551364113.090642
0.00022814917185949902,1.0,945.0,1551364113.102606
0.0002310791194812241,1.0,958.0,1551364113.108382
0.00022911692995474157,1.0,1004.0,1551364113.1170719
0.00021612428627221106,1.0,1106.0,1551364113.126119
0.00022106681702092646,1.0,1129.0,1551364113.136684
0.00021622524965529474,1.0,1192.0,1551364113.144879
0.0002182569409826119,1.0,1218.0,1551364113.153072
0.00021813793182373046,1.0,1250.0,1551364113.159843
0.00022142627665440055,1.0,1281.0,1551364113.17088
0.00022199688755514051,1.0,1315.0,1551364113.1791549
0.00021116211905887385,1.0,1426.0,1551364113.188389
0.0002115807627784171,1.0,1463.0,1551364113.196836
0.0002114253390399239,2.0,1501.0,1551364113.206104
0.00021573630963470035,1.0,1511.0,1551364113.213311
0.0002055387270573937,1.0,1643.0,1551364113.225488
0.0002076878605118717,1.0,1660.0,1551364113.2326279
0.00020994953524098285,1.0,1687.0,1551364113.241895
0.00020790633258469608,1.0,1744.0,1551364113.2502668
0.00020588274160142762,1.0,1810.0,1551364113.260535
0.0002089497550005973,1.0,1823.0,1551364113.2686322
0.00020865741609443897,1.0,1871.0,1551364113.278192
0.00021192769576502978,1.0,1895.0,1551364113.290664
0.00020959042855517358,1.0,1989.0,1551364113.304872
0.00021315814855400777,1.0,1997.0,1551364113.313569
0.00021200595198902174,1.0,2056.0,1551364113.323798
0.0002109755128055471,1.0,2104.0,1551364113.3319418
0.00021343731129175067,1.0,2127.0,1551364113.342134
0.0002128310159805718,1.0,2180.0,1551364113.351955
0.00021147877378130772,1.0,2234.0,1551364113.3606331
0.0002132205895227382,1.0,2247.0,1551364113.367239
0.0002077536204633037,1.0,2357.0,1551364113.378037
0.00021076232661547119,1.0,2363.0,1551364113.386104
0.00021150299828532137,1.0,2401.0,1551364113.396112
0.0002126964320341418,1.0,2423.0,1551364113.403713
0.0002111023061460951,1.0,2481.0,1551364113.412089
0.00020985665357061198,1.0,2537.0,1551364113.4208388
0.00020854983026581694,1.0,2595.0,1551364113.429615
0.00021052241827600627,1.0,2611.0,1551364113.43788
0.00020750239905844276,1.0,2697.0,1551364113.448226
0.00020958540362242753,1.0,2712.0,1551364113.456661
0.0002116768655755987,1.0,2726.0,1551364113.4653141
0.00020938819759779416,1.0,2797.0,1551364113.4741929
0.00021076649058703696,1.0,2829.0,1551364113.4849112
0.00020948148144341502,1.0,2895.0,1551364113.494744
0.00020704272615885527,1.0,2974.0,1551364113.504242
0.0002099014806188331,1.0,2985.0,1551364113.5151849
0.00021144826449665566,1.0,2991.0,1551364113.520899
0.0002098320047164399,1.0,3064.0,1551364113.531316
0.00021142719237785028,1.0,3075.0,1551364113.538626
0.00020806722397077035,1.0,3167.0,1551364113.547373
0.00020695673012585374,1.0,3220.0,1551364113.554968
0.00020839719910212422,1.0,3251.0,1551364113.5659578
0.00020879412799566042,1.0,3288.0,1551364113.574987
0.0002099934006084411,1.0,3297.0,1551364113.580825
0.000209292665377406,1.0,3351.0,1551364113.589845
0.00020693085764143077,1.0,3431.0,1551364113.5985432
0.00020686712006372452,1.0,3466.0,1551364113.6056151
0.00020529202823763086,1.0,3533.0,1551364113.61391
0.00020703306837138532,1.0,3537.0,1551364113.6209989
0.00020681245556436324,1.0,3585.0,1551364113.630074
0.00020766793492099398,1.0,3608.0,1551364113.63806
0.00020485186441925716,1.0,3711.0,1551364113.64893
0.00020623437634021595,1.0,3723.0,1551364113.656519
0.00020577434775745137,1.0,3767.0,1551364113.6639419
0.00020655847356741423,1.0,3791.0,1551364113.671807
0.0002039514332318785,1.0,3882.0,1551364113.6805491
0.00020509958267211914,1.0,3904.0,1551364113.689536
